periodo,estoque_inicial,producao,importacao,Sementes/Outros,exportacao,processamento,estoque_final
1999,2086.3,31377.0,582.03,1309.91,8910.92,21475.89,2348.61
2000,2348.61,34127.0,807.4,1367.11,11517.07,21180.47,3218.35
2001,3218.35,39058.0,849.58,1449.62,15675.54,23103.8,2896.97
2002,2896.97,42769.0,1045.2,1660.21,15960.0,25760.14,3330.83
2003,3330.83,51875.0,1189.23,1880.3,19873.46,27447.13,7194.17
2004,7194.17,50085.0,348.31,2056.41,19177.42,28706.01,7687.65
2005,7687.65,53053.0,367.75,2210.66,22297.09,29859.52,6741.13
2006,6741.13,56942.0,48.86,2188.82,24887.71,28332.05,8323.41
2007,8323.41,58726.0,97.93,2120.32,23665.42,31484.69,9876.91
2008,9876.91,59936.0,96.28,2178.5,24499.45,32325.22,10906.02
2009,10906.02,57383.0,99.41,2159.19,28562.68,30426.27,7240.29
2010,7240.29,68919.0,117.84,2127.58,29073.16,35506.1,9570.29
2011,9570.29,75248.0,40.98,2217.73,32975.56,37270.17,12395.81
2012,12395.81,67920.0,267.96,2229.64,32906.4,36433.91,9013.84
2013,9013.84,81593.0,282.81,2443.51,42796.1,36238.0,9412.03
2014,9412.03,86397.0,578.72,2626.25,45692.0,37622.0,10447.5
2015,10447.5,96994.0,324.05,2820.5,54324.24,40556.0,10064.81
2016,10064.81,96199.0,382.12,2874.05,51581.87,39531.0,12659.01
2017,12659.01,113804.0,253.72,3012.74,68154.57,41837.0,13712.42
2018,13712.42,123081.0,186.97,3134.27,83257.78,43556.0,7032.35
2019,7032.35,120751.0,144.24,3176.12,74073.05,43454.44,7223.98
2020,7223.98,127988.76,822.0,3306.75,82973.0,46845.0,2909.98
2021,2909.98,138856.16,863.7,3482.23,86107.59,47781.38,5258.64
2022,5258.64,129944.0,419.17,2254.0,78730.12,50931.8,3705.88
2023,3705.88,160300.0,181.02,2291.0,101869.89,54165.1,5860.92
2024,5860.92,153500.0,821.54,2779.0,98814.52,55400.0,3188.95
2025,3190.46,171700.0,500.0,2835.0,106100.0,57500.0,8955.46
